plot,year,cows_in,resid_in,cows_out,resid_out,resid_may15,trt_proposed,trt_actual
1,2023,,,,,,early_nesting,
2,2023,,,,,,pre_nesting,
3,2023,,,,,,pre_nesting,
4,2023,,,,,,pre_arrival,
5,2023,,,,,,early_nesting,
6,2023,,,,,,early_nesting,
7,2023,,,,,,post_nesting,
8,2023,,,,,,early_nesting,
9,2023,,,,,,pre_arrival,
10,2023,,,,,,pre_arrival,
11,2023,,,,,,pre_nesting,
12,2023,,,,,,pre_arrival,
13,2023,,,,,,post_nesting,
14,2023,,,,,,post_nesting,
15,2023,,,,,,post_nesting,
16,2023,,,,,,post_nesting,
17,2023,,,,,,post_nesting,
19,2023,,,,,,post_nesting,
20,2023,,,,,,post_nesting,
21,2023,,,,,,peak,
1,2024,,,,,,pre_arrival,
2,2024,,,,,,pre_arrival,
3,2024,,,,,,post_nesting,
4,2024,,,,,,pre_arrival,
5,2024,,,,,,pre_arrival,
6,2024,,,,,,pre_nesting,
7,2024,,,,,,pre_nesting,
8,2024,,,,,,pre_nesting,
9,2024,,,,,,pre_nesting,
10,2024,,,,,,pre_nesting,
11,2024,,,,,,early_nesting,
12,2024,,,,,,early_nesting,
13,2024,,,,,,early_nesting,
14,2024,,,,,,early_nesting,
15,2024,,,,,,post_nesting,
16,2024,,,,,,post_nesting,
17,2024,,,,,,early_nesting,
19,2024,,,,,,early_nesting,
20,2024,,,,,,early_nesting,
21,2024,,,,,,post_nesting,
